               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.055766,            0.065875,                   0,             0.59813,             0.59538,             0.56689,              0.2345,            0.062021,            0.034072,                   0,           0.0096337,           0.0096337,           0.0096337
                  39,            0.055919,            0.047472,                   0,             0.54249,             0.56667,             0.50267,             0.20461,            0.060635,             0.03284,                   0,           0.0096238,           0.0096238,           0.0096238
                  40,            0.055745,             0.04599,                   0,             0.52949,             0.58889,             0.55921,             0.21885,            0.060555,            0.031834,                   0,           0.0096139,           0.0096139,           0.0096139
                  41,            0.055215,            0.046392,                   0,             0.62685,             0.44801,             0.53279,             0.21683,            0.062418,            0.031343,                   0,            0.009604,            0.009604,            0.009604
                  42,            0.050035,            0.045461,                   0,             0.62482,             0.57366,             0.58244,             0.20976,            0.059487,            0.032864,                   0,           0.0095941,           0.0095941,           0.0095941
                  43,            0.056074,            0.049321,                   0,             0.45385,             0.40629,              0.3164,             0.10388,            0.076598,            0.032602,                   0,           0.0095842,           0.0095842,           0.0095842
                  44,            0.063273,            0.043445,                   0,             0.78846,             0.45554,             0.55658,             0.25085,            0.060499,            0.033195,                   0,           0.0095743,           0.0095743,           0.0095743
                  45,            0.047688,            0.040234,                   0,             0.44637,                 0.5,             0.41532,             0.16714,            0.070739,            0.031967,                   0,           0.0095644,           0.0095644,           0.0095644
                  46,             0.05234,            0.049864,                   0,              0.7164,             0.45556,             0.54012,             0.21467,            0.063679,            0.035322,                   0,           0.0095545,           0.0095545,           0.0095545
                  47,              0.0509,            0.046125,                   0,             0.55388,             0.40005,             0.42054,              0.1736,             0.06685,              0.0346,                   0,           0.0095446,           0.0095446,           0.0095446
                  48,              0.0551,            0.043996,                   0,             0.43606,             0.51111,             0.42485,             0.18736,            0.064201,             0.03225,                   0,           0.0095347,           0.0095347,           0.0095347
                  49,            0.060967,            0.056436,                   0,             0.72002,             0.55556,             0.60958,             0.23185,            0.061177,            0.031683,                   0,           0.0095248,           0.0095248,           0.0095248
                  50,            0.051939,            0.043404,                   0,             0.57155,             0.57778,             0.51424,             0.20476,            0.061938,            0.031174,                   0,           0.0095149,           0.0095149,           0.0095149
                  51,            0.048658,            0.044495,                   0,             0.49421,             0.54444,             0.46298,             0.21065,            0.061939,            0.034088,                   0,            0.009505,            0.009505,            0.009505
                  52,            0.055861,            0.049108,                   0,             0.69993,             0.45556,             0.49832,              0.1768,            0.068766,            0.033562,                   0,           0.0094951,           0.0094951,           0.0094951
                  53,            0.054141,            0.045941,                   0,             0.72435,             0.46717,             0.54273,             0.15735,            0.063402,             0.03489,                   0,           0.0094852,           0.0094852,           0.0094852
                  54,            0.049982,            0.046081,                   0,             0.75358,             0.57766,             0.67304,             0.28205,            0.057314,            0.030755,                   0,           0.0094753,           0.0094753,           0.0094753
                  55,            0.049468,             0.04471,                   0,             0.62522,             0.68889,             0.67258,             0.29301,            0.057613,            0.030503,                   0,           0.0094654,           0.0094654,           0.0094654
                  56,            0.050548,             0.05397,                   0,             0.47459,             0.42222,             0.43845,             0.17113,            0.068179,            0.033063,                   0,           0.0094555,           0.0094555,           0.0094555
                  57,            0.050222,            0.043884,                   0,             0.72231,             0.46247,             0.53337,             0.23611,            0.066662,            0.034719,                   0,           0.0094456,           0.0094456,           0.0094456
                  58,            0.049786,            0.043695,                   0,             0.67857,             0.57778,             0.62997,             0.25959,            0.060951,            0.034072,                   0,           0.0094357,           0.0094357,           0.0094357
                  59,            0.052086,            0.044956,                   0,             0.76273,             0.65556,             0.69414,             0.27385,            0.053324,             0.03031,                   0,           0.0094258,           0.0094258,           0.0094258
                  60,            0.051323,            0.042931,                   0,             0.69564,             0.56667,              0.5948,             0.21452,            0.058736,            0.029507,                   0,           0.0094159,           0.0094159,           0.0094159
                  61,            0.045612,            0.038725,                   0,             0.81905,             0.56667,             0.64983,             0.28003,            0.059163,            0.034668,                   0,            0.009406,            0.009406,            0.009406
