               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.051512,            0.059399,                   0,             0.47244,             0.73333,             0.61672,             0.20064,            0.056608,            0.032811,                   0,           0.0096337,           0.0096337,           0.0096337
                  39,            0.048784,            0.042331,                   0,             0.42078,             0.59733,             0.47301,             0.19868,            0.056734,            0.032531,                   0,           0.0096238,           0.0096238,           0.0096238
                  40,            0.054666,            0.040387,                   0,             0.73091,              0.6942,             0.75311,             0.29986,            0.050339,            0.029443,                   0,           0.0096139,           0.0096139,           0.0096139
                  41,            0.046489,            0.043915,                   0,             0.58931,             0.64444,             0.65042,              0.3157,            0.053266,            0.028118,                   0,            0.009604,            0.009604,            0.009604
                  42,            0.048508,            0.039881,                   0,             0.70138,                 0.7,             0.70454,             0.24416,            0.053702,            0.029502,                   0,           0.0095941,           0.0095941,           0.0095941
                  43,            0.050828,            0.043743,                   0,             0.73121,             0.60456,              0.6878,             0.28258,            0.057863,            0.028642,                   0,           0.0095842,           0.0095842,           0.0095842
                  44,            0.054155,            0.040453,                   0,             0.85363,             0.64444,             0.76626,              0.3349,            0.052799,            0.030739,                   0,           0.0095743,           0.0095743,           0.0095743
                  45,            0.044851,            0.035496,                   0,             0.46123,             0.66667,             0.50554,             0.21876,            0.064183,            0.030236,                   0,           0.0095644,           0.0095644,           0.0095644
                  46,            0.049656,            0.042337,                   0,             0.62882,             0.71111,             0.68547,             0.29448,            0.054328,            0.030336,                   0,           0.0095545,           0.0095545,           0.0095545
                  47,            0.044139,            0.041093,                   0,              0.7258,             0.58824,             0.59778,             0.25149,            0.064757,             0.03156,                   0,           0.0095446,           0.0095446,           0.0095446
                  48,            0.051473,            0.040766,                   0,             0.72951,              0.6593,               0.659,             0.24072,            0.056366,            0.030616,                   0,           0.0095347,           0.0095347,           0.0095347
                  49,            0.052903,            0.049332,                   0,             0.86981,             0.67778,             0.81224,             0.34986,            0.051904,            0.029623,                   0,           0.0095248,           0.0095248,           0.0095248
                  50,            0.047206,            0.038494,                   0,             0.81575,             0.66667,             0.74965,              0.3235,             0.05342,            0.028661,                   0,           0.0095149,           0.0095149,           0.0095149
                  51,            0.041656,            0.039581,                   0,             0.75552,             0.65556,             0.68732,             0.31185,            0.053943,            0.031963,                   0,            0.009505,            0.009505,            0.009505
                  52,            0.048454,            0.046626,                   0,             0.59828,             0.62222,             0.58424,             0.25279,            0.055711,            0.029607,                   0,           0.0094951,           0.0094951,           0.0094951
                  53,            0.041332,            0.037332,                   0,              0.7533,             0.76667,             0.78482,             0.38794,            0.049089,            0.030232,                   0,           0.0094852,           0.0094852,           0.0094852
                  54,            0.040119,            0.040341,                   0,             0.83229,             0.74444,             0.81753,              0.4003,            0.046682,            0.028276,                   0,           0.0094753,           0.0094753,           0.0094753
                  55,            0.040934,            0.039616,                   0,               0.706,             0.74712,             0.74813,             0.31691,            0.048634,            0.029644,                   0,           0.0094654,           0.0094654,           0.0094654
                  56,            0.044825,            0.049729,                   0,             0.65133,             0.68497,             0.72136,             0.29546,            0.054447,            0.029372,                   0,           0.0094555,           0.0094555,           0.0094555
                  57,            0.044831,            0.035283,                   0,             0.66833,             0.67172,              0.6928,             0.33292,            0.051081,            0.032321,                   0,           0.0094456,           0.0094456,           0.0094456
                  58,            0.041531,             0.04022,                   0,             0.79884,             0.70603,             0.74358,             0.36112,            0.047604,            0.034855,                   0,           0.0094357,           0.0094357,           0.0094357
                  59,            0.046869,            0.038662,                   0,             0.77048,                 0.7,             0.67421,             0.28114,            0.048675,            0.035622,                   0,           0.0094258,           0.0094258,           0.0094258
                  60,             0.04648,            0.035082,                   0,             0.80654,             0.74119,             0.76069,             0.39509,            0.048181,            0.031198,                   0,           0.0094159,           0.0094159,           0.0094159
                  61,            0.042548,             0.03296,                   0,             0.82951,             0.75687,              0.7981,             0.32435,            0.047592,             0.03054,                   0,            0.009406,            0.009406,            0.009406
                  62,            0.043689,            0.034954,                   0,             0.78474,             0.72916,             0.76427,             0.43077,            0.044735,            0.028126,                   0,           0.0093961,           0.0093961,           0.0093961
                  63,            0.043717,            0.039784,                   0,             0.79538,             0.77742,             0.80298,             0.42649,            0.043382,            0.027958,                   0,           0.0093862,           0.0093862,           0.0093862
                  64,            0.042429,            0.047645,                   0,             0.81092,             0.76249,              0.8066,              0.3865,            0.046515,            0.027228,                   0,           0.0093763,           0.0093763,           0.0093763
                  65,             0.04297,            0.039119,                   0,              0.8756,                 0.7,             0.80491,             0.37507,            0.044735,            0.027828,                   0,           0.0093664,           0.0093664,           0.0093664
                  66,            0.042124,            0.051665,                   0,             0.86063,             0.75475,             0.84536,             0.45229,            0.040532,            0.026764,                   0,           0.0093565,           0.0093565,           0.0093565
                  67,            0.037981,            0.035394,                   0,             0.81218,             0.83333,             0.86804,             0.34388,            0.045514,            0.027771,                   0,           0.0093466,           0.0093466,           0.0093466
                  68,            0.044021,            0.041109,                   0,             0.78693,             0.81111,               0.843,             0.39205,            0.046819,            0.027209,                   0,           0.0093367,           0.0093367,           0.0093367
                  69,            0.049164,            0.033765,                   0,             0.86681,             0.78889,             0.85168,             0.40208,            0.044434,            0.027789,                   0,           0.0093268,           0.0093268,           0.0093268
                  70,            0.038469,            0.033983,                   0,             0.85462,             0.78385,             0.82504,             0.43121,            0.041932,            0.027634,                   0,           0.0093169,           0.0093169,           0.0093169
                  71,            0.037632,            0.065798,                   0,             0.88824,             0.82222,             0.85525,             0.37598,            0.045893,            0.030722,                   0,            0.009307,            0.009307,            0.009307
                  72,            0.041878,            0.034336,                   0,             0.76416,             0.76667,              0.7606,             0.34967,            0.050024,            0.030945,                   0,           0.0092971,           0.0092971,           0.0092971
                  73,            0.042644,            0.036139,                   0,             0.89048,                 0.8,             0.85397,             0.38768,            0.044387,            0.029352,                   0,           0.0092872,           0.0092872,           0.0092872
                  74,            0.045365,            0.030881,                   0,             0.84838,             0.77778,             0.82027,             0.41434,            0.043927,             0.03005,                   0,           0.0092773,           0.0092773,           0.0092773
                  75,            0.040164,            0.034847,                   0,             0.79093,              0.7146,             0.75509,             0.41334,            0.042673,            0.029815,                   0,           0.0092674,           0.0092674,           0.0092674
                  76,            0.038953,            0.044926,                   0,             0.86432,             0.70781,             0.79248,             0.37027,            0.045304,            0.029863,                   0,           0.0092575,           0.0092575,           0.0092575
                  77,            0.041054,            0.039847,                   0,             0.76972,             0.77994,             0.82892,             0.43889,            0.042022,            0.027704,                   0,           0.0092476,           0.0092476,           0.0092476
                  78,              0.0356,            0.039667,                   0,             0.80922,             0.77778,             0.83979,             0.44418,            0.042333,            0.026853,                   0,           0.0092377,           0.0092377,           0.0092377
                  79,            0.035755,             0.04126,                   0,             0.84108,             0.76449,             0.82194,             0.41551,            0.043574,            0.027986,                   0,           0.0092278,           0.0092278,           0.0092278
                  80,            0.044097,            0.038846,                   0,             0.89645,             0.76959,             0.85059,             0.43069,            0.041524,            0.027152,                   0,           0.0092179,           0.0092179,           0.0092179
                  81,            0.044199,            0.029585,                   0,             0.87566,             0.78253,             0.84133,             0.42714,            0.043267,            0.027663,                   0,            0.009208,            0.009208,            0.009208
                  82,             0.04472,            0.033636,                   0,             0.85214,             0.75556,             0.82207,             0.40137,            0.045166,            0.028766,                   0,           0.0091981,           0.0091981,           0.0091981
                  83,            0.033412,             0.04399,                   0,             0.87559,             0.74444,             0.81746,             0.39745,            0.041684,            0.029694,                   0,           0.0091882,           0.0091882,           0.0091882
                  84,            0.037769,            0.033127,                   0,             0.89147,             0.78889,             0.84292,             0.37867,            0.047693,            0.029617,                   0,           0.0091783,           0.0091783,           0.0091783
                  85,            0.040226,            0.035548,                   0,              0.8755,             0.77778,             0.84444,             0.45265,            0.041272,             0.02893,                   0,           0.0091684,           0.0091684,           0.0091684
                  86,            0.036419,            0.035339,                   0,             0.90614,             0.76667,             0.86293,             0.46787,            0.039803,            0.028859,                   0,           0.0091585,           0.0091585,           0.0091585
                  87,            0.035027,            0.040074,                   0,             0.87588,             0.74444,             0.81002,             0.40087,            0.041326,            0.030289,                   0,           0.0091486,           0.0091486,           0.0091486
                  88,            0.042527,            0.035989,                   0,             0.85619,             0.78889,             0.83689,             0.42628,            0.042677,            0.030145,                   0,           0.0091387,           0.0091387,           0.0091387
                  89,            0.035354,            0.031909,                   0,             0.88433,             0.76454,             0.82058,             0.40141,            0.042346,            0.030719,                   0,           0.0091288,           0.0091288,           0.0091288
                  90,            0.037496,            0.042546,                   0,             0.86175,             0.71111,             0.78365,             0.44179,            0.041656,            0.030471,                   0,           0.0091189,           0.0091189,           0.0091189
                  91,            0.033239,            0.037097,                   0,             0.81415,              0.7788,             0.78471,             0.34474,            0.045505,            0.032096,                   0,            0.009109,            0.009109,            0.009109
                  92,            0.041519,            0.034358,                   0,             0.86313,              0.7708,             0.79259,             0.37063,            0.046238,            0.030917,                   0,           0.0090991,           0.0090991,           0.0090991
                  93,            0.040819,            0.041869,                   0,             0.86028,             0.82097,              0.8484,             0.45277,            0.040609,            0.029196,                   0,           0.0090892,           0.0090892,           0.0090892
                  94,            0.035246,             0.03066,                   0,             0.85676,             0.78889,             0.84199,             0.44157,            0.040601,            0.027465,                   0,           0.0090793,           0.0090793,           0.0090793
                  95,            0.034833,            0.029615,                   0,             0.78996,                 0.8,             0.78836,             0.32047,            0.049272,            0.029664,                   0,           0.0090694,           0.0090694,           0.0090694
                  96,            0.042311,            0.033263,                   0,             0.80882,             0.76667,             0.82264,             0.45716,            0.043048,            0.028846,                   0,           0.0090595,           0.0090595,           0.0090595
                  97,            0.037687,            0.035676,                   0,             0.81639,             0.81111,             0.84691,             0.41916,            0.042796,            0.029826,                   0,           0.0090496,           0.0090496,           0.0090496
                  98,            0.039915,              0.0328,                   0,             0.79358,             0.71111,             0.77166,             0.41499,            0.045171,             0.03245,                   0,           0.0090397,           0.0090397,           0.0090397
                  99,            0.034818,             0.03374,                   0,             0.82653,             0.76667,              0.8396,             0.42484,             0.04197,            0.032811,                   0,           0.0090298,           0.0090298,           0.0090298
                 100,            0.037537,            0.040478,                   0,             0.86294,             0.73333,              0.8071,             0.39944,            0.044853,            0.032068,                   0,           0.0090199,           0.0090199,           0.0090199
                 101,            0.041082,             0.03814,                   0,             0.86685,             0.77778,             0.84988,                0.44,            0.039847,            0.032254,                   0,             0.00901,             0.00901,             0.00901
                 102,            0.038994,            0.036871,                   0,             0.82794,             0.78889,             0.83027,             0.45212,            0.041219,            0.030163,                   0,           0.0090001,           0.0090001,           0.0090001
                 103,            0.030501,            0.033381,                   0,              0.8264,             0.77778,             0.84559,             0.46271,            0.041471,            0.030861,                   0,           0.0089902,           0.0089902,           0.0089902
                 104,            0.036312,            0.042521,                   0,             0.84165,             0.73333,             0.77246,             0.35145,            0.047045,            0.032927,                   0,           0.0089803,           0.0089803,           0.0089803
                 105,            0.037131,            0.035509,                   0,             0.90649,             0.76667,             0.84507,             0.44479,            0.043704,            0.033243,                   0,           0.0089704,           0.0089704,           0.0089704
                 106,            0.034113,            0.039859,                   0,             0.88512,             0.77048,             0.85619,              0.4518,            0.040797,            0.032566,                   0,           0.0089605,           0.0089605,           0.0089605
                 107,            0.037469,            0.038272,                   0,             0.87198,             0.77778,             0.77847,             0.39842,            0.042172,            0.032811,                   0,           0.0089506,           0.0089506,           0.0089506
                 108,            0.036135,            0.034391,                   0,             0.81761,             0.79695,             0.82596,             0.40449,             0.04086,            0.031775,                   0,           0.0089407,           0.0089407,           0.0089407
                 109,            0.036426,            0.030338,                   0,             0.82489,             0.78889,             0.83874,             0.44316,             0.03865,            0.029502,                   0,           0.0089308,           0.0089308,           0.0089308
                 110,            0.037669,            0.051074,                   0,             0.85992,             0.81852,             0.88225,             0.44913,            0.039667,            0.030284,                   0,           0.0089209,           0.0089209,           0.0089209
                 111,            0.031509,            0.033627,                   0,             0.89847,             0.78664,             0.87053,             0.43798,            0.039369,             0.03078,                   0,            0.008911,            0.008911,            0.008911
                 112,            0.033624,            0.031076,                   0,             0.81818,             0.80001,             0.85011,             0.33957,            0.045066,            0.031478,                   0,           0.0089011,           0.0089011,           0.0089011
                 113,            0.041149,            0.031923,                   0,             0.85934,                 0.8,             0.84859,             0.42263,            0.042912,            0.030938,                   0,           0.0088912,           0.0088912,           0.0088912
                 114,            0.033074,            0.035455,                   0,             0.80555,             0.85556,              0.8226,             0.45166,            0.038457,            0.030244,                   0,           0.0088813,           0.0088813,           0.0088813
                 115,            0.028302,            0.032001,                   0,             0.85206,             0.85556,             0.86888,             0.45084,             0.03798,            0.028113,                   0,           0.0088714,           0.0088714,           0.0088714
                 116,            0.030461,            0.031833,                   0,             0.83134,             0.82155,             0.82938,             0.46082,            0.040683,            0.028487,                   0,           0.0088615,           0.0088615,           0.0088615
                 117,            0.036597,            0.029369,                   0,             0.83605,             0.84992,             0.90263,             0.43649,            0.039666,            0.028527,                   0,           0.0088516,           0.0088516,           0.0088516
                 118,            0.032936,            0.030796,                   0,             0.85399,             0.86667,             0.88473,             0.46374,            0.038147,            0.028061,                   0,           0.0088417,           0.0088417,           0.0088417
